name,e,a,r,i,o,t,n,s,h,l,d,g,space,in,th,ti,on,an,he,al,er,es,the,and,are,ion,ing,in_DD,th_DD,ti_DD,on_DD,an_DD,he_DD,al_DD,er_DD,es_DD,input_rate
shabaz_2,0.10311113463507758,0.14329033513222972,0.10576924910912147,0.1046153398660513,0.09211108419630262,0.09553335507710775,0.10112500190734863,0.11670005321502686,0.10650002956390381,0.11414286068507604,0.11366669336954753,0.11150002479553223,0.10332258670560775,0.271999994913737,0.11900007724761963,0.12800002098083496,0.3680000305175781,0.25871423312595915,0.7037500739097595,0.0,0.1279999017715454,0.3359999656677246,0.6630001068115234,0.3146665891011556,0.2560000419616699,0.0,0.3840000629425049,0.18666664759318033,0.0,0.0,0.24000000953674316,0.15557139260428293,0.6195000410079956,0.0,0.0,0.17599987983703613,0.35879469002242637
shabaz_3,0.11733331282933553,0.13703125715255737,0.07659997940063476,0.10106665293375651,0.0956666734483507,0.08600000234750602,0.11993752419948578,0.1319166620572408,0.06263635375282982,0.07528567314147949,0.07200002670288086,0.05099987983703613,0.09641121926708757,0.22900009155273438,0.1575000286102295,0.0,0.3833334445953369,0.3458000659942627,0.19466662406921387,0.33550000190734863,0.14399981498718262,0.3359999656677246,0.2944000244140625,0.4160001277923584,0.0,0.7360000610351562,0.0,0.10166668891906738,0.09600003560384114,0.0,0.26600011189778644,0.24960002899169922,0.06116664409637451,0.29600000381469727,0.0,0.17599987983703613,0.3532960687281166
Keval_1,0.0968461220081036,0.12129410575417911,0.10369997024536133,0.09371428830283028,0.13333333863152397,0.08838460995600773,0.07971429824829102,0.11533334520128039,0.09600000911288792,0.11183333396911621,0.10666672388712566,0.06399989128112793,0.11511291996125252,0.31999993324279785,0.3357999801635742,0.0,0.0,0.25066661834716797,0.6157499551773071,0.41499996185302734,0.15999984741210938,0.35199999809265137,0.8834999799728394,0.3680000305175781,0.0,0.0,0.0,0.247999906539917,0.23980002403259276,0.0,0.0,0.19766664505004883,0.5335000157356262,0.25500011444091797,0.0,0.2239999771118164,0.42080346835141924
Keval_2,0.09588885307312012,0.12228574071611677,0.07466665903727214,0.07975000143051147,0.09566664695739746,0.07983338832855225,0.09600003560384114,0.10540003776550293,0.09550005197525024,0.14933331807454428,0.07999992370605469,0.09599995613098145,0.1122083564599355,0.312000036239624,0.19150006771087646,0.0,0.0,0.2042500376701355,0.26600003242492676,0.0,0.15999984741210938,0.3360002040863037,0.2955000400543213,0.32799994945526123,0.5920000076293945,0.0,0.3840000629425049,0.24049997329711914,0.0885000228881836,0.0,0.0,0.08800005912780762,0.1916667620340983,0.0,0.0,0.17600011825561523,0.39854208708612204
Keval_3,0.09841668605804443,0.11325003703435262,0.0992222097184923,0.07384613844064566,0.08214282989501953,0.07962504029273987,0.09039998054504395,0.1044615598825308,0.08450005054473878,0.10742855072021484,0.08799993991851807,0.08000016212463379,0.11118749901652336,0.4419999917348226,0.5355000495910645,0.0,0.26166661580403644,0.223799991607666,0.36500004927317303,0.3359999656677246,0.3359999656677246,0.2710001468658447,0.7706000328063964,0.3359999656677246,0.0,0.28799986839294434,0.0,0.3406666119893392,0.46133331457773846,0.0,0.18666672706604004,0.125600004196167,0.26933340231577557,0.22449994087219238,0.1770000457763672,0.15900015830993652,0.4306425619716487
srujit_1,0.11764708687277402,0.1426249841849009,0.1188666820526123,0.09793750941753387,0.10163643143393776,0.09882354736328125,0.10399997234344482,0.1368124932050705,0.10584620329049918,0.09974998235702515,0.12820005416870117,0.12000000476837158,0.11591347135030307,0.36266660690307617,0.31771431650434223,0.0,0.0,0.48000001907348633,0.3840000629425049,1.247999906539917,0.3604999780654907,0.3919999599456787,0.5792000770568848,1.1040000915527344,0.0,0.0,0.7039999961853027,0.26133330663045246,0.21257141658238002,0.0,0.0,0.3733333746592204,0.2533333698908488,1.1699998378753662,0.21699988842010498,0.2565000057220459,0.9174132760638088
srujit_2,0.11722221639421251,0.13296668529510497,0.10423075235806979,0.0933076968559852,0.10600003600120544,0.09113332430521646,0.0890714270727975,0.12170000076293945,0.08700006348746163,0.0937143053327288,0.12424999475479126,0.1044999361038208,0.09952039621314224,0.32850003242492676,0.28000009059906006,0.3680000305175781,0.6389999389648438,0.33485712323869976,0.3359999656677246,0.0,0.247999906539917,0.4309999942779541,0.527999997138977,0.8163333733876547,0.6400001049041748,0.7669999599456787,1.0900001525878906,0.23249995708465576,0.19200003147125244,0.24099993705749512,0.5429999828338623,0.24585717064993723,0.23600006103515625,0.0,0.10399997234344482,0.2710001468658447,0.7507154928126806
srujit_3,0.1278333067893982,0.13908690991608993,0.11200001504686144,0.09484612024747409,0.1098571504865374,0.09187495708465576,0.09485718182155065,0.1340000079228328,0.09233336978488499,0.08871425901140485,0.10749995708465576,0.14400005340576172,0.09273236906024772,0.3359999656677246,0.28266672293345135,0.0,0.4160000483194987,0.4863999366760254,0.3358333508173625,0.5114998817443848,0.35199999809265137,0.4479999542236328,0.5056000709533691,0.9599997997283936,0.0,0.4479999542236328,0.0,0.24800002574920654,0.1895000139872233,0.0,0.3146666685740153,0.3903998851776123,0.2079999844233195,0.4239999055862427,0.20799994468688965,0.28799986839294434,0.6949611543682915
Sireesha_1,0.0948786034303553,0.10440568923950196,0.09653276867336696,0.07017167409261067,0.07199867566426595,0.08398005541633158,0.07364456470196064,0.0982871691385905,0.08940651019414265,0.0717920462290446,0.10793346166610718,0.10399460792541504,0.08086354624141347,0.30022990703582764,0.2814866304397583,0.0,0.26365431149800617,0.2915689945220947,0.2616640840257917,0.4075925350189209,0.2550981044769287,0.40719079971313477,0.45592403411865234,0.6396956443786621,0.4007248878479004,0.0,0.3925001621246338,0.216208815574646,0.18622949123382568,0.0,0.19985111554463705,0.21193838119506836,0.1530860492161342,0.3440837860107422,0.17502140998840332,0.29491758346557617,0.2927394023648015
Sireesha_2,0.11253594268452037,0.10660433769226074,0.08913280282701765,0.07433122396469116,0.07484939694404602,0.07418124492351826,0.077829376856486,0.10807699906198602,0.07303826014200847,0.07662692070007324,0.07984024286270142,0.07724364598592122,0.07990116061586322,0.192071795463562,0.30955982208251953,0.2611730893452962,0.2536356449127197,0.2392728328704834,0.2213346004486084,0.21582651138305664,0.2792623043060303,0.0,0.4669749021530151,0.4399693012237549,0.47252583503723145,0.5113635063171387,0.30432963371276855,0.08398663997650146,0.237160249189897,0.1680608590443929,0.17908708254496256,0.1601848602294922,0.12158317565917968,0.14402437210083008,0.2158217430114746,0.0,0.3075727186862778
Sireesha_3,0.09167157902437098,0.11973663171132405,0.07060738404591878,0.08619189262390137,0.07454058859083387,0.08939790725708008,0.08546964824199677,0.08891211450099945,0.08486020565032959,0.09005677700042725,0.10519405206044515,0.0,0.0869269991308693,0.28029918670654297,0.2543286482493083,0.0,0.2759310007095337,0.2523519992828369,0.2175814151763916,0.0,0.21073015530904135,0.0,0.4157069206237793,0.4479571580886841,0.4397883415222168,0.0,0.0,0.20020675659179688,0.1651045878728231,0.0,0.19584763050079346,0.1678496769496373,0.11685447692871094,0.0,0.14405560493469238,0.0,0.30611199537913003
